s,n,i,m
IMCC,IM Cannabis,Drug Manufacturers - Specialty & Generic,13828029
IMCR,Immunocore Holdings,Biotechnology,2877980952
IMGN,ImmunoGen,Biotechnology,4699609200
IMKTA,Ingles Markets,Grocery Stores,1588121784
IMMP,Immutep,Biotechnology,187560038
IMMR,Immersion,Software - Application,233658724
IMMX,Immix Biopharma,Biotechnology,33674144
IMNM,Immunome,Biotechnology,109568550
IMNN,Imunon,Biotechnology,11826100
IMO,Imperial Oil,Oil & Gas Integrated,28798744083
IMOS,ChipMOS TECHNOLOGIES INC.,Semiconductors,825053780
IMPL,Impel Pharmaceuticals,Biotechnology,39185850
IMPP,Imperial Petroleum,Oil & Gas E&P,46664478
IMRN,Immuron,Biotechnology,11722424
IMRX,Immuneering,Biotechnology,289269643
IMTE,Integrated Media Technology,Electronic Components,7495190
IMTX,Immatics,Biotechnology,884789156
IMUX,Immunic,Biotechnology,114117766
IMVT,Immunovant,Biotechnology,2421943650
IMXI,International Money Express,Software - Infrastructure,905358938
INAB,IN8bio,Biotechnology,50278007
INAQ,Insight Acquisition,Shell Companies,92556461
INBK,First Internet Bancorp,Banks - Regional,136966282
INBS,Intelligent Bio Solutions,Diagnostics & Research,6571728
INBX,Inhibrx,Biotechnology,1048085271
INCR,InterCure,Drug Manufacturers - Specialty & Generic,71549139
INCY,Incyte,Biotechnology,13847072160
INDB,Independent Bank,Banks - Regional,2035927500
INDI,indie Semiconductor,Semiconductor Equipment & Materials,1288951373
INDO,Indonesia Energy Corporation,Oil & Gas E&P,43005048
INDP,Indaptus Therapeutics,Biotechnology,16382048
INDV,Indivior,Drug Manufacturers - Specialty & Generic,3298895652.57
INFA,Informatica,Software - Infrastructure,5052647621
INFI,Infinity Pharmaceuticals,Biotechnology,19419437
INFN,Infinera,Communication Equipment,1046858240
INFU,InfuSystem Holdings,Medical Instruments & Supplies,207636512
INFY,Infosys,Information Technology Services,66415222541
ING,ING Groep,Banks - Diversified,48818603884
INGN,Inogen,Medical Devices,263477856
INGR,Ingredion,Packaged Foods,7079566564
INKT,MiNK Therapeutics,Biotechnology,68844200
INLX,Intellinetics,Software - Application,14950699
INM,InMed Pharmaceuticals,Biotechnology,3211703
INMB,INmune Bio,Biotechnology,170666460
INMD,InMode,Medical Devices,3162509011
INN,Summit Hotel Properties,REIT - Hotel & Motel,710370090
INNV,InnovAge Holding,Medical Care Facilities,906008400
INO,Inovio Pharmaceuticals,Biotechnology,129057888
INOD,Innodata,Information Technology Services,292305500
INPX,Inpixon,Software - Application,7410581
INSE,Inspired Entertainment,Gambling,366955578
INSG,Inseego,Communication Equipment,70940290
INSM,Insmed,Biotechnology,2709559221
INSP,Inspire Medical Systems,Medical Devices,9087984313
INST,Instructure Holdings,Software - Application,3700323616
INSW,International Seaways,Oil & Gas Midstream,1884520572
INTA,Intapp,Software - Application,2607729214
INTC,Intel,Semiconductors,132846352038
INTE,Integral Acquisition Corporation 1,Shell Companies,62119378
INTG,The InterGroup Corporation,Lodging,78727563
INTR,Inter & Co,Banks - Regional,1285993478
INTS,Intensity Therapeutics,Biotechnology,76574679.8
INTT,inTEST,Semiconductor Equipment & Materials,263814180
INTU,Intuit,Software - Application,125520091400
INTZ,Intrusion,Software - Infrastructure,23251444
INUV,Inuvo,Advertising Agencies,31713320
INVA,Innoviva,Biotechnology,814874736
INVE,Identiv,Computer Hardware,188848746
INVH,Invitation Homes,REIT - Residential,21258031876
INVO,INVO Bioscience,Medical Devices,3125606
INVZ,Innoviz Technologies,Auto Parts,429414300
INZY,Inozyme Pharma,Biotechnology,232506384
IOAC,Innovative International Acquisition,Shell Companies,123435336
IOBT,IO Biotech,Biotechnology,51867540
IONM,Assure Holdings,Medical Care Facilities,4602376
IONQ,IonQ,Computer Hardware,2669651840
IONR,ioneer,Other Industrial Metals & Mining,448525421
IONS,Ionis Pharmaceuticals,Biotechnology,5978383760
IOR,Income Opportunity Realty Investors,Mortgage Finance,53105543
IOSP,Innospec,Specialty Chemicals,2460817235
IOT,Samsara,Software - Infrastructure,13879223719
IOVA,Iovance Biotherapeutics,Biotechnology,1625010702
IP,International Paper Company,Packaging & Containers,11036412346
IPA,ImmunoPrecise Antibodies,Biotechnology,74556846
IPAR,Inter Parfums,Household & Personal Products,4169693250
IPDN,Professional Diversity Network,Staffing & Employment Services,38985120
IPG,The Interpublic Group of Companies,Advertising Agencies,14646091716
IPGP,IPG Photonics,Semiconductor Equipment & Materials,6259476992
IPHA,Innate Pharma,Biotechnology,259317561
IPI,Intrepid Potash,Agricultural Inputs,334228440
IPSC,Century Therapeutics,Biotechnology,169209472
IPVF,InterPrivate III Financial Partners,Shell Companies,103273107
IPW,iPower,Internet Retail,38660700
IPWR,Ideal Power,Electrical Equipment & Parts,68806212
IPX,IperionX,Other Industrial Metals & Mining,129446100
IPXX,Inflection Point Acquisition Corp. II,Shell Companies,274050000
IQ,iQIYI,Entertainment,4936541123
IQV,IQVIA Holdings,Diagnostics & Research,40228876956
IR,Ingersoll Rand,Specialty Industrial Machinery,25994391454
IRAA,Iris Acquisition,Shell Companies,87287550
IRBT,iRobot,Furnishings,1279538417
IRDM,Iridium Communications,Telecom Services,7590698720
IREN,Iris Energy,Capital Markets,366735943
IRIX,IRIDEX,Medical Devices,33775192
IRM,Iron Mountain,REIT - Specialty,16899553314
IRMD,IRadimed,Medical Devices,587547420
IRNT,IronNet,Software - Infrastructure,23629235
IRON,Disc Medicine,Biotechnology,1036727232
IROQ,IF Bancorp,Banks - Regional,50587820
IRRX,Integrated Rail and Resources Acquisition,Shell Companies,209854760
IRS,IRSA Inversiones y Representaciones,Conglomerates,1309842416
IRT,Independence Realty Trust,REIT - Residential,4002175837
IRTC,iRhythm Technologies,Medical Devices,3065667188
IRWD,Ironwood Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1567441140
ISDR,Issuer Direct,Software - Application,73418410
ISEE,IVERIC bio,Biotechnology,5491484282
ISIG,Insignia Systems,Advertising Agencies,13176848
ISPC,iSpecimen,Diagnostics & Research,12279943
ISPO,Inspirato,Leisure,65992808
ISPR,Ispire Technology,Tobacco,486000000.00000006
ISRG,Intuitive Surgical,Medical Instruments & Supplies,116083358721
ISRL,Israel Acquisitions,Shell Companies,207662264
ISSC,Innovative Solutions and Support,Aerospace & Defense,123815480
ISTR,Investar Holding,Banks - Regional,115636301
ISUN,iSun,Solar,7147523
IT,Gartner,Information Technology Services,27492533044
ITAQ,Industrial Tech Acquisitions II,Shell Companies,61369468
ITCI,Intra-Cellular Therapies,Drug Manufacturers - Specialty & Generic,5973287112
ITCL,Banco Itaú Chile,Banks-Regional,2303000000
ITGR,Integer Holdings,Medical Devices,2819509372
ITI,Iteris,Communication Equipment,164743578
ITIC,Investors Title Company,Insurance - Specialty,286502668
ITOS,iTeos Therapeutics,Biotechnology,473869025
ITP,IT Tech Packaging,Paper & Paper Products,4218619
ITRG,Integra Resources,Other Precious Metals & Mining,72216379
ITRI,Itron,Scientific & Technical Instruments,3189134788
ITRM,Iterum Therapeutics,Biotechnology,14538496
ITRN,Ituran Location and Control,Communication Equipment,455658610
ITT,ITT Inc.,Specialty Industrial Machinery,7709344000
ITUB,Itaú Unibanco Holding,Banks - Regional,58799640576
ITW,Illinois Tool Works,Specialty Industrial Machinery,74094592380
IVA,Inventiva,Biotechnology,161834848
IVAC,Intevac,Aerospace & Defense,90475807
IVCA,Investcorp India Acquisition,Shell Companies,346078649
IVCB,Investcorp Europe Acquisition Corp I,Shell Companies,294819580
IVCP,Swiftmerge Acquisition,Shell Companies,81474269
IVDA,Iveda Solutions,Security & Protection Services,17293608
IVR,Invesco Mortgage Capital,REIT - Mortgage,451039176
IVT,InvenTrust Properties,REIT - Retail,1578351068
IVVD,Invivyd,Biotechnology,131378400
IVZ,Invesco,Asset Management,7752219345
IX,ORIX Corporation,Credit Services,21315952710
IXAQ,IX Acquisition,Shell Companies,109968672
IXHL,Incannex Healthcare,Drug Manufacturers - Specialty & Generic,121882368
IZEA,IZEA Worldwide,Internet Content & Information,40275498
IZM,ICZOOM Group,Electronics & Computer Distribution,51012416
J,Jacobs Engineering Group,Engineering & Construction,15378025500
JACK,Jack in the Box,Restaurants,1930449456
JAGX,Jaguar Health,Biotechnology,10238691
JAKK,JAKKS Pacific,Leisure,195543123
JAMF,Jamf Holding,Software - Application,2361952350
JAN,JanOne,Waste Management,3724111
JANX,Janux Therapeutics,Biotechnology,510784593
JAQC,Jupiter Acquisition,Shell Companies,101805380
JAZZ,Jazz Pharmaceuticals,Biotechnology,7825019000
JBGS,JBG SMITH Properties,REIT - Office,1748556360
JBHT,J.B. Hunt Transport Services,Integrated Freight & Logistics,18616217280
JBI,Janus International Group,Building Products & Equipment,1433688880
JBL,Jabil,Electronic Components,14487765960
JBLU,JetBlue Airways,Airlines,2928155859
JBSS,John B. Sanfilippo & Son,Packaged Foods,1283051466
JBT,John Bean Technologies,Specialty Industrial Machinery,3742079040
JCI,Johnson Controls International,Building Products & Equipment,45900023635
JCSE,JE Cleantech Holdings,Specialty Industrial Machinery,8107796
JCTCF,Jewett-Cameron Trading Company,Lumber & Wood Production,14870325
JD,JD.com,Internet Retail,56018038856
JEF,Jefferies Financial Group,Capital Markets,7541684751
JELD,JELD-WEN Holding,Building Products & Equipment,1381641468
JEWL,Adamas One,Luxury Goods,24035960
JFBR,Jeffs' Brands,Internet Retail,6440942
JFIN,Jiayin Group,Internet Content & Information,262884948
JFU,9F Inc.,Information Technology Services,47633594
JG,Aurora Mobile,Software - Infrastructure,34112790
JGGC,Jaguar Global Growth Corporation I,Shell Companies,324453686
JHG,Janus Henderson Group,Asset Management,4416442280
JHX,James Hardie Industries,Building Materials,11641300160
JILL,J.Jill,Apparel Retail,204613849
JJSF,J&J Snack Foods,Packaged Foods,3055340010
JKHY,Jack Henry & Associates,Information Technology Services,11879402001
JKS,JinkoSolar Holding Co.,Solar,2158015725
JLL,Jones Lang LaSalle,Real Estate Services,7464698572
JMIA,Jumia Technologies AG,Internet Retail,371273040
JMSB,John Marshall Bancorp,Banks - Regional,276434078
JNJ,Johnson & Johnson,Drug Manufacturers - General,413847749952
JNPR,Juniper Networks,Communication Equipment,9995079360
JOAN,JOANN,Specialty Retail,39088851
JOB,GEE Group,Staffing & Employment Services,59177560
JOBY,Joby Aviation,Airports & Air Services,6462711049
JOE,The St. Joe Company,Real Estate - Diversified,2875988440
JOUT,Johnson Outdoors,Leisure,596753642
JPM,JPMorgan Chase & Co.,Banks - Diversified,421803327053
JRSH,Jerash Holdings (US),Apparel Manufacturing,45613708
JRVR,James River Group Holdings,Insurance - Specialty,663978880
JSPR,Jasper Therapeutics,Biotechnology,152249880
JT,Jianpu Technology,Credit Services,26528000
JUN,Juniper II,Shell Companies,126992310
JUPW,Jupiter Wellness,Drug Manufacturers - Specialty & Generic,9755620
JVA,Coffee Holding Co.,Packaged Foods,8220384
JWEL,Jowell Global,Internet Retail,6961264
JWN,Nordstrom,Department Stores,3126523840
JWSM,Jaws Mustang Acquisition,Shell Companies,302168891
JXJT,JX Luxventure,Apparel Manufacturing,14128445
JXN,Jackson Financial,Insurance - Life,2534936138
JYD,Jayud Global Logistics,Integrated Freight & Logistics,54213699
JYNT,The Joint,Medical Care Facilities,192292280
JZ,Jianzhi Education Technology Group Company,Education & Training Services,61766100
JZXN,Jiuzi Holdings,Auto & Truck Dealerships,7211577
K,Kellogg Company,Packaged Foods,23029911095
KA,Kineta,Biotechnology,23253538
KACL,Kairous Acquisition Corp.,Shell Companies,111607100
KAI,Kadant,Specialty Industrial Machinery,2459490525
KALA,Kala Pharmaceuticals,Drug Manufacturers - Specialty & Generic,35089429
KALU,Kaiser Aluminum,Aluminum,1159959240
KALV,KalVista Pharmaceuticals,Biotechnology,351603126
KAMN,Kaman,Aerospace & Defense,680168640
KAR,KAR Auction Services,Auto & Truck Dealerships,1637042910
KARO,Karooooo,Software - Application,724255740
KAVL,Kaival Brands Innovations Group,Tobacco,45866335
KB,KB Financial Group,Banks - Regional,14135920940
KBH,KB Home,Residential Construction,3978550576
KBNT,Kubient,Software - Application,8836200
KBR,KBR,Engineering & Construction,8690279660
KC,Kingsoft Cloud Holdings,Software - Application,1309806400
KCGI,Kensington Capital Acquisition V,Shell Companies,364664968
KD,Kyndryl Holdings,Information Technology Services,3000705480
KDNY,Chinook Therapeutics,Biotechnology,2621228810
KDP,Keurig Dr Pepper,Beverages - Non-Alcoholic,44584051784
KE,Kimball Electronics,Electrical Equipment & Parts,700439419
KELYA,Kelly Services,Staffing & Employment Services,619652360
KELYB,Kelly Services,Staffing & Employment Services,614803837
KEN,Kenon Holdings,Utilities - Independent Power Producers,1266518400
KEP,Korea Electric Power,Utilities - Regulated Electric,9603796280
KEQU,Kewaunee Scientific,Furnishings,43047342
KERN,Akerna,Health Information Services,3722301
KEX,Kirby,Marine Shipping,4572000000
KEY,KeyCorp,Banks - Regional,8969181760
KEYS,Keysight Technologies,Scientific & Technical Instruments,29211327360
KFFB,Kentucky First Federal Bancorp,Banks - Regional,51754020
KFRC,Kforce,Staffing & Employment Services,1235733975
KFS,Kingsway Financial Services,Auto & Truck Dealerships,211886964
KFY,Korn Ferry,Staffing & Employment Services,2604875520
KGC,Kinross Gold,Gold,5634684000
KGS,Kodiak Gas Services,Oil & Gas Equipment & Services,1200000000
KHC,The Kraft Heinz Company,Packaged Foods,43517928131
KIDS,OrthoPediatrics,Medical Devices,983941296
KIM,Kimco Realty,REIT - Retail,12335850163
KIND,Nextdoor Holdings,Internet Content & Information,1213623000
KINS,Kingstone Companies,Insurance - Property & Casualty,13988780
KIQ,Kelso Technologies,Railroads,14666427
KIRK,Kirkland's,Specialty Retail,34979217
KITT,Nauticus Robotics,Aerospace & Defense,97390990
KKR,KKR & Co.,Asset Management,61688691882
KLAC,KLA Corporation,Semiconductor Equipment & Materials,62539423817
KLIC,Kulicke and Soffa Industries,Semiconductor Equipment & Materials,3151656390
KLR,Kaleyra,Software - Application,88167984
KLTR,Kaltura,Software - Infrastructure,296011887
KLXE,KLX Energy Services Holdings,Oil & Gas Equipment & Services,168011776
KMB,Kimberly-Clark,Household & Personal Products,45667891077
KMDA,Kamada,Drug Manufacturers - Specialty & Generic,228762518
KMI,Kinder Morgan,Oil & Gas Midstream,38036497859
KMPR,Kemper,Insurance - Property & Casualty,3078621443
KMT,Kennametal,Tools & Accessories,2235669890
KMX,CarMax,Auto & Truck Dealerships,12876711900
KN,Knowles,Communication Equipment,1604272890
KNDI,Kandi Technologies Group,Auto Parts,287857976
KNF,Knife River,Building Materials,2428952628
KNOP,KNOT Offshore Partners LP,Marine Shipping,176596680
KNSA,Kiniksa Pharmaceuticals,Biotechnology,952031244
KNSL,Kinsale Capital Group,Insurance - Property & Casualty,8513020236
KNSW,KnightSwan Acquisition,Shell Companies,303600000
KNTE,Kinnate Biopharma,Biotechnology,139252074
KNTK,Kinetik Holdings,Oil & Gas Midstream,1823136000
KNW,Know Labs,Scientific & Technical Instruments,53339770
KNX,Knight-Swift Transportation Holdings,Trucking,8814782200
KO,The Coca-Cola Company,Beverages - Non-Alcoholic,258436891238
KOD,Kodiak Sciences,Biotechnology,356545722
KODK,Eastman Kodak Company,Specialty Business Services,461778588
KOF,Coca-Cola FEMSA,Beverages - Non-Alcoholic,17149075943
KOP,Koppers Holdings,Specialty Chemicals,719388758
KOPN,Kopin,Electronic Components,223978320
KORE,KORE Group Holdings,Telecom Services,108173500
KOS,Kosmos Energy,Oil & Gas E&P,2902398080
KOSS,Koss Corporation,Consumer Electronics,33088312
KPLT,Katapult Holdings,Software - Infrastructure,92591916
KPRX,Kiora Pharmaceuticals,Biotechnology,4217887
KPTI,Karyopharm Therapeutics,Biotechnology,188653500
KR,The Kroger Co.,Grocery Stores,33856078065
KRBP,Kiromic BioPharma,Biotechnology,3117089
KRC,Kilroy Realty,REIT - Office,3723276590
KREF,KKR Real Estate Finance Trust,REIT - Mortgage,837431400
KRG,Kite Realty Group Trust,REIT - Retail,4871230460
KRKR,36Kr Holdings,Internet Content & Information,35275724
KRMD,KORU Medical Systems,Medical Instruments & Supplies,154483362
KRNL,Kernel Group Holdings,Shell Companies,157891680
KRNT,Kornit Digital,Specialty Industrial Machinery,1446534716
KRNY,Kearny Financial,Banks - Regional,465227840
KRO,Kronos Worldwide,Specialty Chemicals,1050479540
KRON,Kronos Bio,Biotechnology,114684695
KROS,Keros Therapeutics,Biotechnology,1152600432
KRP,Kimbell Royalty Partners,Oil & Gas E&P,1384545792
KRT,Karat Packaging,Packaging & Containers,359764875
KRTX,Karuna Therapeutics,Biotechnology,8001408360
KRUS,Kura Sushi USA,Restaurants,1109496104
KRYS,Krystal Biotech,Biotechnology,3112733805
KSCP,Knightscope,Security & Protection Services,49715534
KSS,Kohl's,Department Stores,2677408110
KT,KT Corporation,Telecom Services,5558874209
KTB,Kontoor Brands,Apparel Manufacturing,2085559415
KTCC,Key Tronic,Computer Hardware,59082831
KTOS,Kratos Defense & Security Solutions,Aerospace & Defense,1714984320
KTRA,Kintara Therapeutics,Biotechnology,8460900
KTTA,Pasithea Therapeutics,Biotechnology,12357929
KUKE,Kuke Music Holding,Entertainment,18040020
KULR,KULR Technology Group,Electronic Components,89901815
KURA,Kura Oncology,Biotechnology,740623503
KVHI,KVH Industries,Communication Equipment,170271666
KVSA,Khosla Ventures Acquisition Co.,Shell Companies,418261690
KVUE,Kenvue,Household & Personal Products,48293525396
KW,Kennedy-Wilson Holdings,Real Estate Services,2241407409
KWE,KWESST Micro Systems,Aerospace & Defense,12218220
KWR,Quaker Chemical,Specialty Chemicals,3517404096
KXIN,Kaixin Auto Holdings,Auto & Truck Dealerships,66002689
KYCH,Keyarch Acquisition,Shell Companies,158155200
KYMR,Kymera Therapeutics,Biotechnology,1243319344
KZIA,Kazia Therapeutics,Biotechnology,22068504
KZR,Kezar Life Sciences,Biotechnology,179569856
L,Loews,Insurance - Property & Casualty,13776434100
LAB,Standard BioTools,Diagnostics & Research,164608282
LABP,Landos Biopharma,Biotechnology,12685539
LAC,Lithium Americas,Other Industrial Metals & Mining,3200453650
LAD,Lithia Motors,Auto & Truck Dealerships,8627212520
LADR,Ladder Capital,REIT - Mortgage,1367240730
LAES,SEALSQ,Semiconductors,2108256246.58
LAKE,Lakeland Industries,Apparel Manufacturing,108722030
LAMR,Lamar Advertising Company,REIT - Specialty,10091850507
LANC,Lancaster Colony,Packaged Foods,5210465040
LAND,Gladstone Land,REIT - Industrial,580352500
LANV,Lanvin Group Holdings,Luxury Goods,585440370
LARK,Landmark Bancorp,Banks - Regional,113856111
LASE,Laser Photonics,Specialty Industrial Machinery,22847418
LASR,nLIGHT,Semiconductors,683175430
LATG,LatAmGrowth SPAC,Shell Companies,95054144
LAUR,Laureate Education,Education & Training Services,1889231480
LAW,CS Disco,Software - Application,496893663
LAZ,Lazard,Capital Markets,2760312100
LAZR,Luminar Technologies,Auto Parts,2638025921
LAZY,Lazydays Holdings,Auto & Truck Dealerships,152411430
LBAI,Lakeland Bancorp,Banks - Regional,868653840
LBBB,Lakeshore Acquisition II,Shell Companies,67756577
LBC,Luther Burbank,Banks - Regional,455679147
LBPH,Longboard Pharmaceuticals,Biotechnology,163771815
LBRDA,Liberty Broadband,Telecom Services,11920821840
LBRDK,Liberty Broadband,Telecom Services,11911549709
LBRT,Liberty Energy,Oil & Gas Equipment & Services,2589906480
LBTYA,Liberty Global,Telecom Services,8163329948
LBTYB,Liberty Global,Telecom Services,8619415341
LBTYK,Liberty Global,Telecom Services,8170246441
LC,LendingClub,Credit Services,1020936500
LCA,Landcadia Holdings IV,Shell Companies,140376475
LCAA,L Catterton Asia Acquisition,Shell Companies,303357234
LCFY,Locafy,Internet Content & Information,6847434
LCID,Lucid Group,Auto Manufacturers,16937499904
LCII,LCI Industries,Recreational Vehicles,3062371320
LCNB,LCNB Corp.,Banks - Regional,161257400
LCTX,Lineage Cell Therapeutics,Biotechnology,233138380
LCUT,Lifetime Brands,Furnishings,125387274
LCW,Learn CW Investment,Shell Companies,302450011
LDI,loanDepot,Mortgage Finance,638970944
LDOS,Leidos Holdings,Information Technology Services,12078471016
LE,Lands' End,Specialty Retail,247708552
LEA,Lear Corporation,Auto Parts,8772514175
LECO,Lincoln Electric Holdings,Tools & Accessories,11136901776
LEDS,SemiLEDs,Semiconductors,11397708
LEE,Lee Enterprises,Publishing,76223033
LEG,Leggett & Platt,Furnishings,3844274560
LEGH,Legacy Housing,Residential Construction,552699134
LEGN,Legend Biotech,Biotechnology,12424380941
LEJU,Leju Holdings,Real Estate Services,33195866
LEN,Lennar,Residential Construction,34155987117
LEN.B,Lennar,Residential Construction,33880251150
LESL,Leslie's,Home Improvement Retail,1759377587
LEU,Centrus Energy,Uranium,512428731
LEV,The Lion Electric Company,Farm & Heavy Construction Machinery,456374504
LEVI,Levi Strauss & Co.,Apparel Manufacturing,5204429957
LEXX,Lexaria Bioscience,Biotechnology,6149654
LFAC,LF Capital Acquisition Corp. II,Shell Companies,188868900
LFCR,Lifecore Biomedical,Drug Manufacturers - Specialty & Generic,289880232
LFLY,Leafly Holdings,Pharmaceutical Retailers,11785459
LFMD,LifeMD,Pharmaceutical Retailers,153148935
LFST,LifeStance Health Group,Medical Care Facilities,3274087780
LFT,Lument Finance Trust,REIT - Mortgage,98716968
LFUS,Littelfuse,Electronic Components,7191479676
LFVN,LifeVantage,Packaged Foods,55337078
LGF.A,Lions Gate Entertainment,Entertainment,1985769711
LGF.B,Lions Gate Entertainment,Entertainment,1988254712
LGHL,Lion Group Holding,Capital Markets,5971819
LGIH,LGI Homes,Residential Construction,2904405834
LGL,The LGL Group,Electronic Components,24998230
LGMK,LogicMark,Security & Protection Services,3772434
LGND,Ligand Pharmaceuticals,Biotechnology,1203029625
LGO,Largo,Other Industrial Metals & Mining,264512871
LGST,Semper Paratus Acquisition,Shell Companies,170975284
LGVC,LAMF Global Ventures I,Shell Companies,130670271
LGVN,Longeveron,Biotechnology,65541443
LH,Laboratory Corporation of America Holdings,Diagnostics & Research,18453608000
LHC,Leo Holdings Corp. II,Shell Companies,148717660
LHX,L3Harris Technologies,Aerospace & Defense,36878919423
LI,Li Auto,Auto Manufacturers,35070883391
LIAN,LianBio,Biotechnology,255050320
LIBY,Liberty Resources Acquisition,Shell Companies,78244341
LICN,Lichen China,Specialty Business Services,38162617
LICY,Li-Cycle Holdings,Waste Management,1037184840
LIDR,AEye,Auto Parts,33220318
LIFE,aTyr Pharma,Biotechnology,109126518
LIFW,MSP Recovery,Health Information Services,998993600
LII,Lennox International,Building Products & Equipment,11363320120
LILA,Liberty Latin America,Telecom Services,1843649334
LILAK,Liberty Latin America,Telecom Services,1837969046
LILM,Lilium,Aerospace & Defense,697430520
LIN,Linde,Specialty Chemicals,178462999554
LINC,Lincoln Educational Services,Education & Training Services,201512342
LIND,Lindblad Expeditions Holdings,Travel Services,518403352
LINK,Interlink Electronics,Electronic Components,69799488
LIPO,Lipella Pharmaceuticals,Biotechnology,12349471
LIQT,LiqTech International,Pollution & Treatment Controls,18165165
LITB,LightInTheBox Holding Co.,Internet Retail,158131968
LITE,Lumentum Holdings,Communication Equipment,3737280000
LITM,Snow Lake Resources,Other Industrial Metals & Mining,41281766
LIVB,LIV Capital Acquisition Corp. II,Shell Companies,70963913
LIVE,Live Ventures,Home Improvement Retail,82456851
LIVN,LivaNova,Medical Devices,2748625272
LIXT,Lixte Biotechnology Holdings,Biotechnology,8479482
LIZI,Lizhi,Internet Content & Information,41566404
LKCO,Luokung Technology,Internet Content & Information,19371588
LKFN,Lakeland Financial,Banks - Regional,1219157346
LKQ,LKQ Corporation,Auto Parts,15286315100
LL,LL Flooring Holdings,Home Improvement Retail,112835200
LLAP,Terran Orbital,Aerospace & Defense,257776000
LLY,Eli Lilly and Company,Drug Manufacturers - General,429147348690
LMAT,LeMaitre Vascular,Medical Instruments & Supplies,1403835840
LMB,Limbach Holdings,Engineering & Construction,278129797
LMDX,LumiraDx,Diagnostics & Research,260154951
LMFA,LM Funding America,Credit Services,10251934
LMND,Lemonade,Insurance - Property & Casualty,1158410036
LMNL,Liminal BioSciences,Biotechnology,19163592
LMNR,Limoneira Company,Farm Products,281369785
LMT,Lockheed Martin,Aerospace & Defense,116169679960
LNC,Lincoln National,Insurance - Life,4422098929
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Farm Products,532563262
LNG,Cheniere Energy,Oil & Gas Midstream,37057351860
LNKB,LINKBANCORP,Banks - Regional,93962436
LNN,Lindsay,Farm & Heavy Construction Machinery,1320847822
LNSR,LENSAR,Medical Devices,47597875
LNT,Alliant Energy,Utilities - Regulated Electric,13230550440
LNTH,Lantheus Holdings,Drug Manufacturers - Specialty & Generic,5630630630
LNW,Light & Wonder,Gambling,5803330896
LNZA,LanzaTech Global,Waste Management,1338846200
LOAN,Manhattan Bridge Capital,REIT - Mortgage,57204762
LOB,Live Oak Bancshares,Banks - Regional,1188050297
LOCC,Live Oak Crestview Climate Acquisition,Shell Companies,256500000
LOCL,Local Bounti,Farm Products,20629651
LOCO,El Pollo Loco Holdings,Restaurants,335034360
LODE,Comstock,Real Estate Services,64706040
LOGI,Logitech International,Computer Hardware,9476658600
LOMA,Loma Negra Compañía Industrial Argentina,Building Materials,1586531567
LOOP,Loop Industries,Specialty Chemicals,159196020
LOPE,Grand Canyon Education,Education & Training Services,3148493220
LOV,Spark Networks SE,Internet Content & Information,11105780
LOVE,The Lovesac Company,Furnishings,386055290
LOW,Lowe's Companies,Home Improvement Retail,130052621364
LPCN,Lipocine,Biotechnology,23012818
LPG,Dorian LPG,Oil & Gas Midstream,1058834394
LPL,LG Display Co.,Consumer Electronics,4164972280
LPLA,LPL Financial Holdings,Capital Markets,17611724340
LPRO,Open Lending,Credit Services,1210159620
LPSN,LivePerson,Software - Application,334809904
LPTH,LightPath Technologies,Electronic Components,60841054
LPTV,Loop Media,Broadcasting,159558796
LPTX,Leap Therapeutics,Biotechnology,37375643
LPX,Louisiana-Pacific,Building Products & Equipment,5231071274
LQDA,Liquidia,Biotechnology,498971925
LQDT,Liquidity Services,Internet Retail,484427726
LRCX,Lam Research,Semiconductor Equipment & Materials,83004655800
LRFC,Logan Ridge Finance,Asset Management,56295836
LRMR,Larimar Therapeutics,Biotechnology,137379710
LRN,Stride,Education & Training Services,1581223468
LSAK,Lesaka Technologies,Software - Infrastructure,220601390
LSBK,Lake Shore Bancorp,Banks - Regional,59495612
LSCC,Lattice Semiconductor,Semiconductors,12611406600
LSDI,Lucy Scientific Discovery,Drug Manufacturers - Specialty & Generic,18465782
LSEA,Landsea Homes,Real Estate - Development,382013160
LSF,Laird Superfood,Packaged Foods,7945825
LSI,Life Storage,REIT - Industrial,11241741918
LSPD,Lightspeed Commerce,Software - Application,2526348476
LSTA,Lisata Therapeutics,Biotechnology,28947290
LSTR,Landstar System,Integrated Freight & Logistics,6922871046
LTBR,Lightbridge,Electrical Equipment & Parts,66955944
LTC,LTC Properties,REIT - Healthcare Facilities,1361934980
LTCH,Latch,Software - Application,181685000
LTH,Life Time Group Holdings,Leisure,3910511900
LTHM,Livent,Specialty Chemicals,4923451200
LTRN,Lantern Pharma,Biotechnology,56564970
LTRPA,Liberty TripAdvisor Holdings,Internet Content & Information,228644393
LTRPB,Liberty TripAdvisor Holdings,Internet Content & Information,207008832
LTRX,Lantronix,Communication Equipment,153435705
LTRY,Lottery.com,Gambling,10159597
LU,Lufax Holding,Credit Services,7075347404
LUCD,Lucid Diagnostics,Medical Devices,58176504
LUCY,Innovative Eyewear,Medical Instruments & Supplies,10812988
LULU,Lululemon Athletica,Apparel Retail,46218622736
LUMN,Lumen Technologies,Telecom Services,2199482665
LUMO,Lumos Pharma,Biotechnology,28270034
